price,area,type,district,road_width,width,floors,parking_slots,bedrooms,bathrooms
4.1 Tỷ,39 m²,Nhà trong ngõ,Quận Hoàng Mai,,,4 tầng,,4 Phòng ngủ,3 WC
4 Tỷ,40 m²,Nhà trong ngõ,Quận Tây Hồ,,,4 tầng,,4 Phòng ngủ,4 WC
13.8 Tỷ,70 m²,Nhà mặt phố,Quận Hà Đông,Đường vào: Rộng 8m,Mặt tiền: 4.5m,4 tầng,1 Chỗ để ôtô,4 Phòng ngủ,3 WC
138 Tỷ,230 m²,Nhà mặt phố,Quận Hoàn Kiếm,,,,,,
10.9 Tỷ,57 m²,Nhà mặt phố,Quận Hoàng Mai,,Mặt tiền: 5m,4 tầng,,,
2.6 Tỷ,28 m²,Nhà trong ngõ,Quận Đống Đa,Đường vào: Rộng 2.5m,Mặt tiền: 3.2m,4 tầng,,3 Phòng ngủ,3 WC
7.8 Tỷ,33 m²,Nhà mặt phố,Quận Thanh Xuân,Đường vào: Rộng 6m,Mặt tiền: 3.5m,4 tầng,,3 Phòng ngủ,4 WC
7.3 Tỷ,36 m²,Nhà mặt phố,Quận Thanh Xuân,Đường vào: Rộng 6m,Mặt tiền: 4.5m,3 tầng,,2 Phòng ngủ,3 WC
126 Tỷ,260 m²,Nhà mặt phố,Quận Hoàn Kiếm,,,,,,
5.6 Tỷ,45 m²,Nhà trong ngõ,Quận Hai Bà Trưng,,,,,4 Phòng ngủ,4 WC
21 Tỷ,80 m²,Nhà mặt phố,Quận Hai Bà Trưng,Đường vào: Rộng 6m,Mặt tiền: 6m,6 tầng,,6 Phòng ngủ,6 WC
5.6 Tỷ,40 m²,Nhà trong ngõ,Quận Hai Bà Trưng,,,,,4 Phòng ngủ,4 WC
13.8 Tỷ,70 m²,Nhà mặt phố,Quận Hà Đông,Đường vào: Rộng 8m,Mặt tiền: 4.5m,4 tầng,1 Chỗ để ôtô,4 Phòng ngủ,3 WC
138 Tỷ,230 m²,Nhà mặt phố,Quận Hoàn Kiếm,,,,,,
10.9 Tỷ,57 m²,Nhà mặt phố,Quận Hoàng Mai,,Mặt tiền: 5m,4 tầng,,,
5.3 Tỷ,44 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 3m,Mặt tiền: 32m,4 tầng,,4 Phòng ngủ,4 WC
3.4 Tỷ,30 m²,Nhà trong ngõ,Quận Hoàng Mai,Đường vào: Rộng 2.5m,Mặt tiền: 3.5m,4 tầng,,4 Phòng ngủ,3 WC
2.15 Tỷ,15 m²,Nhà trong ngõ,Quận Đống Đa,Đường vào: Rộng 2m,Mặt tiền: 3.2m,4 tầng,,2 Phòng ngủ,2 WC
3.25 Tỷ,31 m²,Nhà trong ngõ,Quận Hoàng Mai,Đường vào: Rộng 2.5m,Mặt tiền: 3.05m,4 tầng,,5 Phòng ngủ,
2.65 Tỷ,34 m²,Nhà trong ngõ,Quận Long Biên,Đường vào: Rộng 2.5m,Mặt tiền: 3.5m,5 tầng,,3 Phòng ngủ,4 WC
5 Tỷ,32 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 2.5m,Mặt tiền: 3.8m,6 tầng,,5 Phòng ngủ,5 WC
197 Triệu,30 m²,Nhà trong ngõ,Quận Hai Bà Trưng,,Mặt tiền: 3m,3 tầng,,,
4 Tỷ,63.7 m²,Nhà trong ngõ,Quận Hoàng Mai,Đường vào: Rộng 2.5m,Mặt tiền: 3.8m,3 tầng,,3 Phòng ngủ,3 WC
4.5 Tỷ,33.4 m²,Nhà trong ngõ,Quận Ba Đình,,Mặt tiền: 3.58m,5 tầng,,3 Phòng ngủ,4 WC
5.6 Tỷ,69 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 12m,Mặt tiền: 5.2m,5 tầng,,,
400 Tỷ,800 m²,Nhà mặt phố,Quận Tây Hồ,Đường vào: Rộng 20m,Mặt tiền: 60m,1 tầng,,,
5 Tỷ,32 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 2.5m,Mặt tiền: 3.8m,6 tầng,,5 Phòng ngủ,5 WC
2.6 Tỷ,30 m²,Nhà trong ngõ,Quận Hai Bà Trưng,Đường vào: Rộng 3m,Mặt tiền: 3m,3 tầng,,3 Phòng ngủ,
5 Tỷ,34 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 2.5m,Mặt tiền: 3.89m,6 tầng,,4 Phòng ngủ,5 WC
5.2 Tỷ,40 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 5m,Mặt tiền: 4m,5 tầng,,5 Phòng ngủ,4 WC
3.4 Tỷ,30 m²,Nhà trong ngõ,Quận Hoàng Mai,Đường vào: Rộng 2.5m,Mặt tiền: 3.5m,4 tầng,,4 Phòng ngủ,3 WC
2.15 Tỷ,15 m²,Nhà trong ngõ,Quận Đống Đa,Đường vào: Rộng 2m,Mặt tiền: 3.2m,4 tầng,,2 Phòng ngủ,2 WC
4.4 Tỷ,40 m²,Nhà trong ngõ,Quận Đống Đa,,,,,,
25.5 Tỷ,115 m²,Nhà mặt phố,Quận Thanh Xuân,,,,,,
6.8 Tỷ,41 m²,Nhà trong ngõ,Quận Thanh Xuân,,,,,,
5.9 Tỷ,45 m²,Nhà trong ngõ,Quận Thanh Xuân,,,,,,
4.2 Tỷ,36 m²,Nhà trong ngõ,Quận Cầu Giấy,,,,,,
11 Tỷ,75 m²,Nhà mặt phố,Quận Thanh Xuân,,,,,,
16.9 Tỷ,90 m²,Nhà mặt phố,Quận Bắc Từ Liêm,,,,,,
11 Tỷ,75 m²,Nhà mặt phố,Quận Thanh Xuân,,,,,,
14.2 Tỷ,80 m²,Nhà trong ngõ,,Đường vào: Rộng 3.5m,Mặt tiền: 14m,7 tầng,,11 Phòng ngủ,11 WC
13 Tỷ,50 m²,Nhà mặt phố,Quận Hà Đông,Đường vào: Rộng 12m,Mặt tiền: 5m,6 tầng,3 Chỗ để ôtô,3 Phòng ngủ,6 WC
14.8 Tỷ,88 m²,Nhà trong ngõ,Quận Thanh Xuân,,Mặt tiền: 5.2m,7 tầng,,11 Phòng ngủ,11 WC
26.8 Tỷ,115 m²,Nhà trong ngõ,Quận Thanh Xuân,Đường vào: Rộng 10m,Mặt tiền: 5m,8 tầng,4 Chỗ để ôtô,11 Phòng ngủ,11 WC
12 Tỷ,46 m²,Nhà mặt phố,Quận Thanh Xuân,Đường vào: Rộng 12m,Mặt tiền: 4m,5 tầng,4 Chỗ để ôtô,3 Phòng ngủ,
20 Tỷ,110 m²,Nhà trong ngõ,Quận Hà Đông,Đường vào: Rộng 5m,Mặt tiền: 8.2m,7 tầng,2 Chỗ để ôtô,11 Phòng ngủ,11 WC
17 Tỷ,111 m²,Nhà trong ngõ,,Đường vào: Rộng 3m,Mặt tiền: 6m,9 tầng,,11 Phòng ngủ,11 WC
4.65 Tỷ,35 m²,Nhà trong ngõ,Quận Hà Đông,Đường vào: Rộng 4m,Mặt tiền: 4m,5 tầng,1 Chỗ để ôtô,3 Phòng ngủ,4 WC
4.1 Tỷ,32 m²,Nhà trong ngõ,Quận Hà Đông,Đường vào: Rộng 3m,Mặt tiền: 3.5m,5 tầng,,3 Phòng ngủ,4 WC
9.5 Tỷ,60 m²,Nhà trong ngõ,Quận Hà Đông,Đường vào: Rộng 4m,Mặt tiền: 6m,5 tầng,,11 Phòng ngủ,11 WC
17 Tỷ,106 m²,Nhà trong ngõ,,Đường vào: Rộng 3m,Mặt tiền: 6m,9 tầng,1 Chỗ để ôtô,11 Phòng ngủ,11 WC
17 Tỷ,106 m²,Nhà trong ngõ,,Đường vào: Rộng 3m,Mặt tiền: 6m,9 tầng,1 Chỗ để ôtô,11 Phòng ngủ,11 WC
7.5 Tỷ,51 m²,Nhà trong ngõ,,Đường vào: Rộng 4m,Mặt tiền: 3.7m,8 tầng,,11 Phòng ngủ,11 WC
11 Tỷ,75 m²,Nhà trong ngõ,,Đường vào: Rộng 4m,Mặt tiền: 4m,8 tầng,1 Chỗ để ôtô,11 Phòng ngủ,11 WC
19.5 Tỷ,120 m²,Nhà trong ngõ,,Đường vào: Rộng 3m,Mặt tiền: 8m,9 tầng,2 Chỗ để ôtô,11 Phòng ngủ,11 WC
12 Tỷ,75 m²,Nhà trong ngõ,,Đường vào: Rộng 5m,Mặt tiền: 4m,8 tầng,1 Chỗ để ôtô,11 Phòng ngủ,11 WC
