price,area,type,road_width,width,floors,parking_slots,bedrooms,district_Quận Cầu Giấy,district_Quận Tây Hồ,district_Quận Đống Đa,district_Quận Ba Đình,district_Quận Hai Bà Trưng,district_Quận Thanh Xuân,district_Quận Nam Từ Liêm,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Bắc Từ Liêm,district_Quận Hoàng Mai
2.6,28.0,0,2.5,3.2,4.0,0,3.0,0,0,1,0,0,0,0,0,0,0,0
7.8,33.0,1,6.0,3.5,4.0,0,3.0,0,0,0,0,0,1,0,0,0,0,0
21.0,80.0,1,6.0,6.0,6.0,0,6.0,0,0,0,0,1,0,0,0,0,0,0
13.8,70.0,1,8.0,4.5,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.4,30.0,0,2.5,3.5,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,1
2.15,15.0,0,2.0,3.2,4.0,0,2.0,0,0,1,0,0,0,0,0,0,0,0
3.25,31.0,0,2.5,3.05,4.0,0,5.0,0,0,0,0,0,0,0,0,0,0,1
2.65,34.0,0,2.5,3.5,5.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0
4.0,63.7,0,2.5,3.8,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,1
5.0,32.0,0,2.5,3.8,6.0,0,5.0,0,0,0,0,0,1,0,0,0,0,0
2.6,30.0,0,3.0,3.0,3.0,0,3.0,0,0,0,0,1,0,0,0,0,0,0
5.2,40.0,0,5.0,4.0,5.0,0,5.0,0,0,0,0,0,1,0,0,0,0,0
3.4,30.0,0,2.5,3.5,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,1
2.15,15.0,0,2.0,3.2,4.0,0,2.0,0,0,1,0,0,0,0,0,0,0,0
13.0,50.0,1,12.0,5.0,6.0,3,3.0,0,0,0,0,0,0,0,1,0,0,0
12.0,46.0,1,12.0,4.0,5.0,4,3.0,0,0,0,0,0,1,0,0,0,0,0
20.0,110.0,0,5.0,8.2,7.0,2,11.0,0,0,0,0,0,0,0,1,0,0,0
4.65,35.0,0,4.0,4.0,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
9.5,60.0,0,4.0,6.0,5.0,0,11.0,0,0,0,0,0,0,0,1,0,0,0
4.65,35.0,0,4.0,4.0,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
4.1,32.0,0,3.0,3.5,5.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
9.5,60.0,0,4.0,6.0,5.0,0,11.0,0,0,0,0,0,0,0,1,0,0,0
50.0,100.0,1,30.0,6.0,6.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
47.0,160.0,0,15.0,10.0,10.0,0,11.0,1,0,0,0,0,0,0,0,0,0,0
23.0,85.0,0,10.0,5.5,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0
32.0,120.0,0,10.0,7.5,5.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
47.0,160.0,0,15.0,10.0,10.0,0,11.0,1,0,0,0,0,0,0,0,0,0,0
20.5,75.0,1,15.0,4.0,5.0,3,6.0,0,0,0,0,0,0,0,0,0,0,1
1.49,62.0,1,20.0,4.5,6.0,3,6.0,1,0,0,0,0,0,0,0,0,0,0
37.5,90.0,1,20.0,5.6,6.0,4,11.0,0,1,0,0,0,0,0,0,0,0,0
20.0,64.0,1,20.0,4.5,5.0,2,5.0,0,0,0,0,1,0,0,0,0,0,0
11.0,75.0,1,6.0,5.0,6.0,1,6.0,0,0,0,0,1,0,0,0,0,0,0
1.82,57.0,1,30.0,4.2,7.0,0,7.0,0,0,1,0,0,0,0,0,0,0,0
2.25,50.0,1,30.0,5.0,8.0,3,11.0,1,0,0,0,0,0,0,0,0,0,0
0.7,40.0,1,30.0,6.4,3.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0
44.2,64.0,1,20.0,4.0,5.0,3,4.0,0,0,0,0,0,0,0,0,0,0,0
6.0,35.0,0,4.0,4.5,6.0,0,4.0,0,0,1,0,0,0,0,0,0,0,0
20.5,75.0,1,15.0,4.0,5.0,3,6.0,0,0,0,0,0,0,0,0,0,0,1
17.0,140.0,1,20.0,8.0,1.0,4,3.0,0,0,0,0,0,0,0,0,0,0,1
21.2,106.0,1,10.0,5.0,5.0,0,5.0,0,0,0,0,0,0,0,1,0,0,0
22.9,60.0,1,8.0,15.0,7.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
15.5,66.0,0,3.0,4.5,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
0.7,40.0,1,30.0,6.4,3.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0
13.5,58.0,1,8.0,4.0,7.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.1,34.0,0,3.0,3.4,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
14.5,54.0,0,7.0,4.0,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
22.9,60.0,1,8.0,15.0,7.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
19.5,82.0,1,8.0,4.7,6.0,1,6.0,0,0,0,0,0,0,0,1,0,0,0
4.95,42.0,0,3.0,3.7,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.6,38.0,0,5.0,3.7,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.8,34.0,0,3.0,4.0,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.2,34.0,1,3.0,3.4,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
15.5,66.0,0,3.0,4.5,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.0,33.0,0,3.0,3.4,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
4.0,33.0,0,3.0,3.4,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
5.8,41.0,0,5.0,3.3,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.2,40.0,0,3.0,3.8,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.8,41.0,0,5.0,3.3,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.25,35.0,1,4.0,3.2,4.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.8,34.0,0,3.0,4.0,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.3,38.0,0,3.0,5.0,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.9,34.0,0,3.0,3.7,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.8,36.0,0,3.0,3.7,4.0,0,4.0,0,0,0,0,0,0,0,1,0,0,0
5.3,40.0,0,3.0,4.0,4.0,0,4.0,0,0,0,0,0,0,1,0,0,0,0
2.65,30.0,0,3.0,5.0,5.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
3.8,36.0,0,3.0,3.7,4.0,0,4.0,0,0,0,0,0,0,0,1,0,0,0
7.48,60.0,0,4.0,4.5,5.0,2,6.0,0,0,0,0,0,0,0,0,0,0,1
28.2,120.0,0,20.0,5.5,5.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
28.0,80.0,0,12.0,6.0,7.0,0,8.0,1,0,0,0,0,0,0,0,0,0,0
22.5,110.0,0,10.0,5.5,2.0,0,2.0,1,0,0,0,0,0,0,0,0,0,0
37.0,110.0,1,30.0,5.3,7.0,0,10.0,0,1,0,0,0,0,0,0,0,0,0
48.0,170.0,0,12.0,8.0,6.0,4,8.0,0,0,1,0,0,0,0,0,0,0,0
35.0,200.0,1,10.0,10.0,4.0,0,6.0,0,1,0,0,0,0,0,0,0,0,0
22.5,110.0,0,10.0,5.5,2.0,0,2.0,1,0,0,0,0,0,0,0,0,0,0
12.0,43.0,1,14.0,4.0,5.0,0,4.0,0,0,0,0,0,1,0,0,0,0,0
9.8,50.0,1,13.0,5.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.6,55.0,1,5.0,5.0,3.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
10.1,57.0,1,4.0,4.2,5.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0
9.2,45.0,1,4.0,4.2,6.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
10.4,51.0,1,6.0,5.0,5.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
7.0,45.0,1,4.0,5.0,5.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
18.0,31.0,1,15.0,4.0,5.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
